1000 1145 1312 1495 1683 1933 2186 2513 2871 3277 3772 4353 4964
1000 1137 1313 1499 1711 1940 2211 2535 2885 3278 3766 4304 4856
1000 1156 1321 1528 1741 2010 2282 2604 2960 3385 3825 4368 4946
1000 1114 1242 1406 1583 1791 2031 2310 2620 2969 3375 3845 4360
1000 1159 1307 1461 1608 1821 2072 2348 2685 3075 3466 3921 4501
1000 1122 1286 1446 1646 1858 2107 2401 2711 3069 3471 3947 4510
1000 1133 1277 1462 1630 1843 2083 2371 2687 3045 3437 3863 4408
1000 1162 1327 1484 1684 1883 2091 2362 2655 3014 3402 3828 4328
1000 1128 1268 1420 1610 1796 2001 2264 2530 2845 3224 3608 4076
1000 1159 1321 1487 1667 1867 2095 2351 2641 2974 3319 3687 4068
1000 1130 1287 1446 1615 1817 2061 2295 2563 2863 3210 3603 4032
1000 1141 1297 1458 1634 1857 2065 2289 2544 2804 3109 3482 3876
1000 1125 1249 1371 1439 1571 1671 1784 1918 2056 2194 2323 2448
1000 1146 1282 1409 1524 1687 1783 1920 2057 2206 2399 2587 2772
1000 1136 1257 1358 1476 1597 1735 1857 1968 2129 2266 2413 2573
1000 1114 1152 1160 1174 1127 1095 1034 986 898 860 806 759
1000 1101 1183 1205 1190 1120 1064 995 932 896 810 769 751
1000 1092 1122 1129 1090 1051 984 908 870 833 777 710 664
1000 1073 958 774 599 443 336 248 203 173 138 114 89
1000 1051 974 795 593 464 353 262 201 154 128 96 67
1000 1054 937 746 591 439 331 239 183 147 112 92 72
1000 945 709 523 395 302 238 197 174 158 153 140 131
1000 946 702 493 355 282 235 206 181 161 155 146 139
1000 944 704 502 371 300 262 238 200 179 169 144 140
