1000 1135 1273 1437 1629 1837 2090 2345 2657 3012 3408 3864 4370
1000 1119 1264 1421 1597 1796 2031 2288 2605 2958 3302 3710 4205
1000 1158 1324 1477 1666 1898 2132 2424 2747 3114 3491 3921 4443
1000 1102 1195 1305 1427 1587 1721 1918 2157 2395 2671 2961 3323
1000 1115 1230 1366 1486 1632 1805 2018 2248 2493 2788 3086 3456
1000 1072 1158 1251 1383 1539 1731 1963 2146 2357 2607 2899 3209
1000 1097 1213 1317 1467 1652 1824 2062 2321 2578 2829 3120 3530
1000 1087 1180 1293 1417 1571 1740 1936 2144 2383 2706 3024 3320
1000 1079 1189 1292 1418 1591 1755 1945 2169 2413 2712 3038 3402
1000 1088 1173 1263 1391 1552 1707 1903 2110 2332 2607 2888 3233
1000 1108 1207 1294 1414 1580 1749 1956 2165 2383 2675 3001 3386
1000 1088 1196 1307 1414 1553 1704 1884 2082 2313 2576 2884 3231
1000 1104 1158 1277 1362 1481 1618 1799 1973 2189 2420 2706 3027
1000 1092 1161 1270 1381 1526 1694 1854 2052 2301 2572 2881 3198
1000 1052 1102 1207 1356 1492 1646 1820 2041 2275 2548 2822 3162
1000 1009 1040 1111 1169 1268 1375 1542 1703 1881 2124 2355 2647
1000 1021 1021 1061 1138 1207 1319 1447 1611 1762 1942 2178 2445
1000 1025 1028 1091 1155 1226 1324 1457 1588 1764 1956 2217 2502
1000 932 846 793 758 769 798 862 914 968 1058 1190 1306
1000 943 837 789 776 762 810 834 902 970 1070 1166 1299
1000 920 834 738 714 706 762 817 891 979 1071 1186 1312
1000 1032 1082 1128 1130 1113 1103 1090 1122 1147 1173 1275 1408
1000 1046 1115 1159 1164 1175 1183 1152 1158 1169 1233 1303 1458
1000 1031 1079 1111 1147 1137 1111 1093 1114 1120 1175 1263 1396
